Public Key	Player Name	Play Count	Finish Placements	Times Eliminated	Disconnects	Skin Usage	Color Usage	Follower Usage
EA99E8C07DE6B0FECC5036EA25CB7FFDD9E6E6EFA745B4E436ACF20628629DC6	Xtralevel64	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	1	None	None	None	
95FE09B5A894377BC1137FC12F24F90DB1A8D388AD5AA09C1CC2FF70A0FBF62C	GeodeBlast	15	1:0|2:0|3:0|4:0|5:0|6:1|7:2|8:0|9:2|10:2|11:2|12:1|13:0|14:3|15:1|16:1	5	0	fleur:1|narlok:1|draco:1|alolanraichu:2|plok:1|holly:2|fav:1|homersimpson:3|blakethetamaraw:1|madmewmew:2	Jet:1|Camouflage:2|Sunslam:1|Turquoise:8|Garden:3	None	
C17EEDDC5600A0B2E0A4C8B35118A0BA1159CC01CA10A5D01911C50D1763EB0B	Sunko	36	1:0|2:1|3:5|4:7|5:11|6:5|7:5|8:0|9:2|10:0|11:0|12:0|13:0|14:0|15:0|16:0	15	2	riderssonic:1|amity:1|bubsytv:1|lancer:2|bean:5|tailsdoll:4|sans:22	Plum A:1|Mantle:2|Freezer's Sunset:3|Midnight:4|Teal:3|BakersApron:1|Ultramarine:2|Dawn:1|Harlequin:2|Galaxy A:4|Sapphire A:2|Orange A:2|Black A:7|Nickel:1|Snail:1	None	
CD0D5371D48D0F3017DE8CEB53F8C2F5AEE6372A29CE7976C88FB5452A2B8D10	WootInABoot	12	1:1|2:0|3:5|4:3|5:1|6:0|7:1|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	3	0	bino:2|dotty:1|dracelia:5|woot:4	Jet A:4|Red A:1|Lime A:7	None	
9ADC8E47F3EE38163EDC3CCB73A3158B1DBB9E41FD86516E119F658934B5B262	Hexingale	70	1:0|2:3|3:12|4:9|5:11|6:13|7:17|8:4|9:1|10:0|11:0|12:0|13:0|14:0|15:0|16:0	17	0	rouge:70	Toxic:70	None	
DA461D31F381610760B7992D8756ECC2DB377112FF63930F5E339B910D62341B	Rando	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
2DD76E79D7EA68DAAC1B24206FD212E2AD9FA717381B768EF65D91DC7CA9902E	Space Burrito	7	1:0|2:0|3:0|4:0|5:0|6:2|7:1|8:0|9:0|10:0|11:1|12:1|13:2|14:0|15:0|16:0	2	0	hexmaniac:7	Couldy A:1|Cobalt A:6	None	
306848E0F59808375A36D4C7D4FAA18E20828B70FA5AF5D58A56C0B0C01E3D91	Fren :)	4	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:1|9:3|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	amy:4	Pink:4	None	
86E86DC6B81B27B3B2C120AD7218319DC51FF496419D41A4C44E391F4D64F68F	Kurona	11	1:1|2:1|3:2|4:2|5:1|6:3|7:0|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	10	0	carol:6|iclyn:5	CandyFloss:5|Mint:6	None	
EEE84F2EF2BD6C2B388F55401C209EFCACD29295073E8FD5AA9AEF534A95D1B1	CrafterJoe	10	1:0|2:0|3:0|4:0|5:0|6:1|7:1|8:3|9:4|10:1|11:0|12:0|13:0|14:0|15:0|16:0	4	0	roony:1|lancer:1|cinna:1|blaze:1|whisper:2|buizel:1|bubsytv:1|quileaf:1|gatti:1	Crystal:1|Daybreak A:1|Ice A:1|Sky A:1|Dream A:1|Marine A:1|Sapphire A:1|Cerulean A:1|Aquamarine A:1|Turquoise A:1	None	
9A766DB99BF0D46A2A66F3C441B9C5999C687781B2258A159FF864730EDAE0E5	ShellC	50	1:2|2:2|3:4|4:3|5:3|6:8|7:10|8:6|9:5|10:4|11:2|12:0|13:0|14:1|15:0|16:0	7	1	nahida:50	Moonset:50	None	
AE09DD90DDC1F6BB2420E87762F842328ECD3B4F7C4B25F6A546570C1CDB75F0	jaq	6	1:0|2:0|3:1|4:1|5:0|6:0|7:0|8:1|9:2|10:1|11:0|12:0|13:0|14:0|15:0|16:0	0	0	gutbuster:6	Sunslam:6	None	
9796934FC5189C2E988A1590624F0424641FE1C5C69F957B4C9415B8C9968578	Maria	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	1	None	None	None	
8FF8D1CB76D3AF7059764A270D3FAE7D0F24E363FAA73E5DEFFF35E729C979CA	Visorcat	71	1:12|2:9|3:15|4:10|5:10|6:3|7:7|8:2|9:2|10:1|11:0|12:0|13:0|14:0|15:0|16:0	10	0	aosthrobotnik:6|shovelknight:4|smwyoshi:1|unclegrandpa:4|banjokazooie:1|gokudrip:6|riderssonic:3|geno:10|bubsytv:30|papyrus:1|bikeshadow:1|sackboy:3|jilldozer:1	Salmon A:2|Pink A:1|Daybreak A:1|Midnight:10|Red A:1|Bone A:2|Island A:1|Brow A:3|Orange A:31|Sapphire A:8|Artic A:2|Black A:4|Cerulean A:1|Crismon A:4	None	
F29F9905C6056B4FF54A8218444E052E3D8F63E8FC52DC0459A1F700535E2E96	Tin Man	18	1:0|2:2|3:1|4:4|5:3|6:2|7:0|8:1|9:2|10:2|11:1|12:0|13:0|14:0|15:0|16:0	1	0	heavymagician:18	Silver:18	None	
7857D9150ABEE84CB376F470F3C5EB2DA1F40FA1D1310C38658B2E72BA614A1A	HayDekay*	24	1:0|2:1|3:3|4:0|5:2|6:8|7:3|8:3|9:3|10:1|11:0|12:0|13:0|14:0|15:0|16:0	14	0	honey:24	Blueberry:24	None	
E4B8FD38E6B47B5FE3E12BC3B2295472B66DF867A1D8AC87421332A3B852F12D	Xlaos	6	1:0|2:0|3:0|4:1|5:1|6:1|7:2|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	2	0	sans:6	Black:6	None	
19EFA012D97B3DEDFF0BFFEFD5CD337CC9B79A582C64967775C14E9921A00B8B	DuskFall	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	1	None	None	None	
